Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS UDAYANA,SASTRA JAWA KUNO,8,12,66.67
UNIVERSITAS UDAYANA,SOSIOLOGI,32,176,18.18
UNIVERSITAS UDAYANA,ILMU KESEHATAN MASYARAKAT,60,514,11.67
UNIVERSITAS UDAYANA,SASTRA INDONESIA,26,90,28.89
UNIVERSITAS UDAYANA,ARKEOLOGI,20,79,25.32
UNIVERSITAS UDAYANA,AKUNTANSI,120,1277,9.4
UNIVERSITAS UDAYANA,ILMU SEJARAH,20,64,31.25
UNIVERSITAS UDAYANA,EKONOMI PEMBANGUNAN,120,503,23.86
UNIVERSITAS UDAYANA,KEDOKTERAN HEWAN,60,323,18.58
UNIVERSITAS UDAYANA,INDUSTRI PERJALANAN WISATA,48,358,13.41
UNIVERSITAS UDAYANA,PSIKOLOGI,48,791,6.07
UNIVERSITAS UDAYANA,KEDOKTERAN,100,1647,6.07
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,24,186,12.9
UNIVERSITAS UDAYANA,MANAJEMEN SUMBER DAYA PERAIRAN,40,76,52.63
UNIVERSITAS UDAYANA,ARSITEKTUR LANSKAP,16,70,22.86
UNIVERSITAS UDAYANA,ILMU KELAUTAN,40,166,24.1
UNIVERSITAS UDAYANA,ILMU KOMPUTER/TEKNIK INFORMATIKA,48,696,6.9
UNIVERSITAS UDAYANA,KEDOKTERAN GIGI,40,422,9.48
UNIVERSITAS UDAYANA,TEKNIK ELEKTRO,64,267,23.97
UNIVERSITAS UDAYANA,FARMASI,40,751,5.33
UNIVERSITAS UDAYANA,MATEMATIKA,40,104,38.46
UNIVERSITAS UDAYANA,PENGELOLAAN PERHOTELAN,40,0,100.0
UNIVERSITAS UDAYANA,ARSITEKTUR,48,569,8.44
UNIVERSITAS UDAYANA,KIMIA,32,58,55.17
UNIVERSITAS UDAYANA,TEKNOLOGI INDUSTRI PERTANIAN,32,83,38.55
UNIVERSITAS UDAYANA,TEKNIK LINGKUNGAN,24,122,19.67
UNIVERSITAS UDAYANA,TEKNIK PERTANIAN DAN BIOSISTEM,24,105,22.86
UNIVERSITAS UDAYANA,FISIOTERAPI,24,272,8.82
UNIVERSITAS UDAYANA,ILMU HUKUM,208,1472,14.13
UNIVERSITAS UDAYANA,SASTRA INGGRIS,80,610,13.11
UNIVERSITAS UDAYANA,BIOLOGI,28,88,31.82
UNIVERSITAS UDAYANA,FISIKA,24,29,82.76
UNIVERSITAS UDAYANA,AGROEKOTEKNOLOGI,80,200,40.0
UNIVERSITAS UDAYANA,PARIWISATA,48,636,7.55
UNIVERSITAS UDAYANA,TEKNOLOGI PANGAN,32,184,17.39
UNIVERSITAS UDAYANA,SASTRA JEPANG,36,187,19.25
UNIVERSITAS TRUNOJOYO MADURA,SASTRA INGGRIS,90,197,45.69
UNIVERSITAS TRUNOJOYO MADURA,AKUNTANSI,106,423,25.06
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INFORMATIKA,100,433,23.09
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN SUMBERDAYA PERAIRAN,45,67,67.16
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN,124,694,17.87
UNIVERSITAS TRUNOJOYO MADURA,ILMU KOMUNIKASI,90,371,24.26
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INDUSTRI,100,292,34.25
